,Number of Completed Trips,Number of Uncompleted Trips,Number of Completed Orders,Number of Uncompleted Orders,Total Distance Completed Orders (km),Total Distance Uncompleted Orders (km),Total Time Completed Orders (hrs),Total Time Uncompleted Orders (hrs),Average Distance for Successful Orders (km),Average Time for Successful Orders (hrs)
135,4,0,50,0,334.3839327371825,0.0,11.146131091239418,0.0,83.59598318429562,2.7865327728098546
136,3,0,36,0,293.67831447491125,0.0,9.78927714916371,0.0,97.89277149163708,3.2630923830545697
137,1,0,23,0,105.80827049740569,0.0,3.526942349913523,0.0,105.80827049740569,3.526942349913523
138,3,0,46,0,292.63060068001323,0.0,9.754353356000442,0.0,97.5435335600044,3.251451118666814
139,4,2,59,22,372.337812744007,178.23788874788085,12.411260424800233,5.941262958262695,93.08445318600175,3.102815106200058
140,2,0,23,0,142.46432591482494,0.0,4.748810863827497,0.0,71.23216295741247,2.3744054319137486
141,2,0,35,0,178.59311698322526,0.0,5.953103899440842,0.0,89.29655849161263,2.976551949720421
142,5,0,62,0,421.029283985564,0.0,14.034309466185466,0.0,84.2058567971128,2.8068618932370932
143,4,2,61,29,386.0443290862903,187.48382021988834,12.868144302876342,6.249460673996278,96.51108227157258,3.2170360757190855
144,4,0,49,0,355.60571881868725,0.0,11.853523960622907,0.0,88.90142970467181,2.9633809901557266
145,5,1,65,15,440.4171875615343,91.38605072211729,14.68057291871781,3.046201690737243,88.08343751230686,2.936114583743562
146,1,0,6,0,71.51317633524351,0.0,2.3837725445081173,0.0,71.51317633524351,2.3837725445081173
147,2,0,23,0,162.62331067804666,0.0,5.4207770226015555,0.0,81.31165533902333,2.7103885113007777
148,3,0,39,0,290.6137512391251,0.0,9.68712504130417,0.0,96.87125041304171,3.2290416804347237
149,4,5,57,72,368.1700624590766,469.9068356748552,12.272335415302551,15.66356118916184,92.04251561476914,3.068083853825638
150,3,0,42,0,321.2222784895983,0.0,10.70740928298661,0.0,107.0740928298661,3.5691364276622033
151,1,0,18,0,121.65717484658272,0.0,4.055239161552757,0.0,121.65717484658272,4.055239161552757
152,3,0,42,0,221.4765928143106,0.0,7.382553093810354,0.0,73.82553093810354,2.460851031270118
153,4,2,56,26,365.328535425724,190.11547676463812,12.177617847524132,6.3371825588212705,91.332133856431,3.044404461881033
154,2,0,29,0,177.5393394177217,0.0,5.917977980590724,0.0,88.76966970886085,2.958988990295362
155,4,1,58,7,358.35707937234463,89.25549896814643,11.945235979078156,2.975183298938214,89.58926984308616,2.986308994769539
156,4,1,59,14,354.8868479990855,110.17781509784186,11.829561599969516,3.6725938365947286,88.72171199977137,2.957390399992379
157,2,0,20,0,128.73417946668582,0.0,4.291139315556194,0.0,64.36708973334291,2.145569657778097
158,3,0,40,0,242.7243324502195,0.0,8.090811081673984,0.0,80.90811081673984,2.6969370272246613
159,3,0,47,0,319.5733393336045,0.0,10.652444644453482,0.0,106.52444644453483,3.5508148814844938
160,4,2,61,24,402.7292884421888,168.05107260961026,13.424309614739627,5.601702420320342,100.6823221105472,3.356077403684907
161,5,0,69,0,420.2501231403802,0.0,14.008337438012674,0.0,84.05002462807605,2.801667487602535
162,2,0,17,0,134.8703046369174,0.0,4.495676821230581,0.0,67.4351523184587,2.2478384106152904
163,1,0,7,0,93.60756558292454,0.0,3.1202521860974843,0.0,93.60756558292454,3.1202521860974843
164,3,0,46,0,286.6519161791034,0.0,9.555063872636781,0.0,95.55063872636781,3.185021290878927
165,1,0,9,0,62.58908132646823,0.0,2.0863027108822743,0.0,62.58908132646823,2.0863027108822743
166,3,0,35,0,253.50909479920713,0.0,8.45030315997357,0.0,84.5030315997357,2.8167677199911902
167,3,0,32,0,245.37172868901266,0.0,8.179057622967088,0.0,81.79057622967089,2.7263525409890295
168,1,0,17,0,117.72245478955779,0.0,3.924081826318593,0.0,117.72245478955779,3.924081826318593
